title,authors,categories,average_rating,ratings_count
Weetzie Bat,Francesca Lia Block,Juvenile Fiction,3.74,12771.0
Behind the Curtain,Peter Abrahams,Juvenile Fiction,3.9,30.0
"Catherine, Called Birdy (Summer Reading Edition)",Karen Cushman,Juvenile Fiction,3.71,33009.0
Wicked Musical Tie-in Edition,Gregory Maguire,Fiction,3.53,2747.0
Son of a Witch,Gregory Maguire,Fiction,3.47,51493.0
This Rough Magic,Mary Stewart,Fiction,4.05,4966.0
Airs Above the Ground,Mary Stewart,Fiction,4.04,4458.0
The Mediator #5: Haunted,Meg Cabot,Juvenile Fiction,4.15,31501.0
Beauty,Robin McKinley,Juvenile Fiction,4.05,3203.0
Mating in Captivity,Esther Perel,Psychology,4.13,7699.0
Forgotten New York,Kevin Walsh,Travel,4.18,198.0
The Dead Beat,Marilyn Johnson,Social Science,3.41,1106.0
Charms for the Easy Life,Kaye Gibbons,Fiction,4.02,10983.0
The Reading Group,Elizabeth Noble,Fiction,3.34,6408.0
A Couple of April Fools,Gregory Maguire,Juvenile Fiction,3.5,3.0
What Christians Believe,C. S. Lewis,Religion,4.2,517.0
Psyche in a Dress,Francesca Lia Block,Juvenile Fiction,3.84,2414.0
YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,Health & Fitness,3.82,3099.0
The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,Fiction,4.26,1099.0
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,Juvenile Fiction,4.21,615.0
"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",R.L. Stine,Juvenile Fiction,3.89,92.0
A Quick Bite,Lynsay Sands,Fiction,3.91,34478.0
Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,Juvenile Fiction,4.27,264013.0
Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,4.16,123044.0
The Final Solution,Michael Chabon,Fiction,3.31,13455.0
The Cat's Pajamas,Ray Bradbury,Fiction,3.73,1316.0
Holy Skirts,Rene Steinke,Fiction,3.61,322.0
Time For Kids: Butterflies!,Editors of TIME For Kids,Juvenile Nonfiction,4.0,20.0
A False Mirror,Charles Todd,Fiction,4.02,2354.0
Cracks in My Foundation,Marian Keyes,Fiction,3.81,1569.0
A Fistful of Charms,Kim Harrison,Fiction,4.28,46881.0
For a Few Demons More,Kim Harrison,Fiction,4.33,47314.0
Mysteries of Pittsburgh,Michael Chabon,Fiction,3.64,21338.0
Everything Is Illuminated tie-in,Jonathan Safran Foer,Fiction,3.9,1754.0
Flight of the Nighthawks,Raymond E. Feist,Fiction,3.95,9378.0
Into a Dark Realm,Raymond E. Feist,Fiction,4.0,8974.0
The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,Health & Fitness,3.08,30.0
The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,True Crime,3.99,200.0
Last of the Wilds,Trudi Canavan,Fiction,4.03,9725.0
Voice of the Gods,Trudi Canavan,Fiction,4.08,9413.0
Missing Mom,Joyce Carol Oates,Fiction,3.54,3425.0
"The Collected Letters of C.S. Lewis, Volume 3",C. S. Lewis,Biography & Autobiography,4.49,140.0
Touch Not the Cat,Mary Stewart,Fiction,3.91,4857.0
King of the Vagabonds,Neal Stephenson,Fiction,4.16,1859.0
Odalisque,Neal Stephenson,Fiction,4.2,1505.0
Black Boy,Richard Wright,Biography & Autobiography,4.05,89.0
The Sheltering Sky,Paul Bowles,Fiction,3.91,898.0
Rat Bastards,John Shea,Biography & Autobiography,3.51,34.0
The Last Days of Henry VIII,Robert Hutchinson,Biography & Autobiography,4.14,1460.0
The Thorn Birds,Colleen McCullough,Fiction,4.23,516.0
Krakatoa,Simon Winchester,History,3.87,14491.0
The Professor and the Madman,Simon Winchester,Biography & Autobiography,3.84,81384.0
Hit Parade,Lawrence Block,Fiction,3.86,99.0
The Curtain,Milan Kundera,Literary Collections,3.96,1351.0
"A Hard Day's Write, 3e",Steve Turner,Music,4.18,152.0
"The Lion, the Witch and the Wardrobe Read-Aloud Edition",C. S. Lewis;Pauline Baynes,Juvenile Fiction,4.21,56.0
"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,Fiction,3.68,126.0
Sex with the Queen,Eleanor Herman,History,3.91,3676.0
Brave New World,Aldous Huxley,Fiction,3.98,12332.0
Queen of Babble,Meg Cabot,Fiction,3.69,59613.0
"Animal, Vegetable, Miracle",Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,Biography & Autobiography,4.04,86130.0
Good Omens,Neil Gaiman;Terry Pratchett,Fiction,4.25,373135.0
Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,Fiction,3.78,10467.0
Continental Drift,Russell Banks,Fiction,3.87,2744.0
The Burglar Who Thought He Was Bogart,Lawrence Block,Fiction,3.89,2079.0
Next,Michael Crichton,Fiction,3.49,57257.0
How to Be Popular,Meg Cabot,Juvenile Fiction,3.54,19183.0
The Annotated Charlotte's Web,E. B. White,Juvenile Nonfiction,4.16,41.0
Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz,Juvenile Fiction,4.1,57.0
The Autumn of the Patriarch,Gabriel Garcia Marquez,Fiction,3.85,11872.0
How to Make Money Like a Porn Star,Neil Strauss;Bernard Chang,Comics & Graphic Novels,3.31,159.0
Little House in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,4.18,193862.0
Farmer Boy,Laura Ingalls Wilder,Juvenile Fiction,4.06,44132.0
The Long Winter,Laura Ingalls Wilder,Juvenile Fiction,4.14,66192.0
Little Town on the Prairie,Laura Ingalls Wilder,Juvenile Fiction,4.18,70683.0
The First Four Years,Laura Ingalls Wilder,Juvenile Fiction,3.88,27390.0
The Alchemist - Gift Edition,Paulo Coelho,Fiction,3.85,814.0
Pretty Things,Liz Goldwyn,Biography & Autobiography,4.31,162.0
