title,authors,categories,average_rating,ratings_count,combined_features
Song of Cthulhu,Stephen Mark Rainey,Fiction,3.67,45.0,Song of Cthulhu Stephen Mark Rainey Fiction
Miskatonic University,Sam Johnson,Games,4.15,36.0,Miskatonic University Sam Johnson Games
The Keeper's Companion,Keith Herber,Games,3.97,63.0,The Keeper's Companion Keith Herber Games
Call of Cthulhu RPG,Sandy Petersen;Lynn Willis,Games,4.45,30.0,Call of Cthulhu RPG Sandy Petersen;Lynn Willis Games
Shadows of Yog-Sothoth,Sandy Petersen,Games,3.9,62.0,Shadows of Yog-Sothoth Sandy Petersen Games
Spawn of Azathoth,Keith Herber,Horror,3.81,19.0,Spawn of Azathoth Keith Herber Horror
Secrets of New York,Jerry Jones;William Jones,Games,3.62,26.0,Secrets of New York Jerry Jones;William Jones Games
"The Keeper's Companion, Vol. 2",Lynn Willis;Adam Gauntlett,Games,3.73,40.0,"The Keeper's Companion, Vol. 2 Lynn Willis;Adam Gauntlett Games"
Secrets of San Francisco,Cody Goodfellow,Games,4.0,16.0,Secrets of San Francisco Cody Goodfellow Games
"Yours in Food, John Baldessari",John Baldessari;Paul Auster,Art,4.0,19.0,"Yours in Food, John Baldessari John Baldessari;Paul Auster Art"
"Notebooks, 1935-1951",Albert Camus;Philip Malcolm Waller Thody;Justin O'Brien,Biography & Autobiography,4.28,536.0,"Notebooks, 1935-1951 Albert Camus;Philip Malcolm Waller Thody;Justin O'Brien Biography & Autobiography"
The Great Good Place,Ray Oldenburg,Social Science,3.84,583.0,The Great Good Place Ray Oldenburg Social Science
Lum Urusei Yatsura,Rumiko Takahashi,Comics & Graphic Novels,3.99,132.0,Lum Urusei Yatsura Rumiko Takahashi Comics & Graphic Novels
"X/1999, Vol. 1",CLAMP,Comics & Graphic Novels,3.95,3083.0,"X/1999, Vol. 1 CLAMP Comics & Graphic Novels"
"X/1999, Volume 2",CLAMP,Comics & Graphic Novels,4.02,1065.0,"X/1999, Volume 2 CLAMP Comics & Graphic Novels"
The Rattle-Rat,Janwillem Van de Wetering,Fiction,3.97,168.0,The Rattle-Rat Janwillem Van de Wetering Fiction
Robert Van Gulik,Janwillem Van de Wetering,Literary Criticism,3.56,38.0,Robert Van Gulik Janwillem Van de Wetering Literary Criticism
"White Sky, Black Ice",Stan Jones,Fiction,3.77,611.0,"White Sky, Black Ice Stan Jones Fiction"
Murder in the Bastille,Cara Black,Fiction,3.73,1148.0,Murder in the Bastille Cara Black Fiction
Restless Till We Rest in You,"Saint Augustine, Bishop of Hippo;Thomas Paul Thigpen",Religion,4.67,6.0,"Restless Till We Rest in You Saint Augustine, Bishop of Hippo;Thomas Paul Thigpen Religion"
The Ring Finger Falls Silent,Satoru Kannagi,Comics & Graphic Novels,4.02,353.0,The Ring Finger Falls Silent Satoru Kannagi Comics & Graphic Novels
The Left Hand Dreams of Him,Satoru Kannagi,Comics & Graphic Novels,3.95,528.0,The Left Hand Dreams of Him Satoru Kannagi Comics & Graphic Novels
Little Butterfly,Hinako Takanaga;Sachiko Sato,Comics & Graphic Novels,4.07,1522.0,Little Butterfly Hinako Takanaga;Sachiko Sato Comics & Graphic Novels
Only the Ring Finger Knows,Satoru Kannagi;Hotaru Odagiri,Comics & Graphic Novels,4.1,3254.0,Only the Ring Finger Knows Satoru Kannagi;Hotaru Odagiri Comics & Graphic Novels
Star Wars Tales Volume 1,Various;Tsuneo Sanda,Comics & Graphic Novels,3.89,894.0,Star Wars Tales Volume 1 Various;Tsuneo Sanda Comics & Graphic Novels
Creatures of the Night,Neil Gaiman;Michael Zulli;Todd Klein,Comics & Graphic Novels,3.84,1627.0,Creatures of the Night Neil Gaiman;Michael Zulli;Todd Klein Comics & Graphic Novels
The Will Eisner Sketchbook,Will Eisner,Art,4.26,35.0,The Will Eisner Sketchbook Will Eisner Art
Star Wars: Clone Wars Volume 1 - The Defense of Kamino,Haden Blackman;John Ostrander;Scott Allie; Jan Duursema; Stephen Thompson; Tomas Giorello; Dan Parsons; Ray Krissing,Comics & Graphic Novels,3.85,868.0,Star Wars: Clone Wars Volume 1 - The Defense of Kamino Haden Blackman;John Ostrander;Scott Allie; Jan Duursema; Stephen Thompson; Tomas Giorello; Dan Parsons; Ray Krissing Comics & Graphic Novels
Dirty Italian,Gabrielle Euvino,Foreign Language Study,4.04,44.0,Dirty Italian Gabrielle Euvino Foreign Language Study
"Gunslinger, and Nine Other Action-packed Stories of the Wild West",Edward Gorman,Frontier and pioneer life,4.25,4.0,"Gunslinger, and Nine Other Action-packed Stories of the Wild West Edward Gorman Frontier and pioneer life"
F. Scott Fitzgerald on Authorship,Francis Scott Fitzgerald;Judith Baughman,Literary Criticism,3.57,7.0,F. Scott Fitzgerald on Authorship Francis Scott Fitzgerald;Judith Baughman Literary Criticism
One Hundred Demons,Lynda Barry,Comics & Graphic Novels,4.16,7405.0,One Hundred Demons Lynda Barry Comics & Graphic Novels
Lao Tzu,Lao-tzu;Ursula K. Le Guin;Jerome P. Seaton,Philosophy,4.32,754.0,Lao Tzu Lao-tzu;Ursula K. Le Guin;Jerome P. Seaton Philosophy
The Tao of Physics,Fritjof Capra,Science,3.97,13688.0,The Tao of Physics Fritjof Capra Science
Spiritual Midwifery,Ina May Gaskin,Medical,4.38,4965.0,Spiritual Midwifery Ina May Gaskin Medical
Monday Night Class,Stephen Gaskin,"Body, Mind & Spirit",3.9,57.0,"Monday Night Class Stephen Gaskin Body, Mind & Spirit"
Steppenwolf,Victor Skrebneski;Richard Christiansen,Performing Arts,4.14,7.0,Steppenwolf Victor Skrebneski;Richard Christiansen Performing Arts
Mother Maria Skobtsova,Mariia,Biography & Autobiography,4.31,59.0,Mother Maria Skobtsova Mariia Biography & Autobiography
The Ultimate Time Machine,Joseph McMoneagle,"Body, Mind & Spirit",3.49,56.0,"The Ultimate Time Machine Joseph McMoneagle Body, Mind & Spirit"
Get Out of Your Mind & Into Your Life,Steven C. Hayes;Spencer Xavier Smith,Self-Help,4.05,1357.0,Get Out of Your Mind & Into Your Life Steven C. Hayes;Spencer Xavier Smith Self-Help
Persuasive Communication,James Brian Stiff;Paul A. Mongeau,Language Arts & Disciplines,3.27,4.0,Persuasive Communication James Brian Stiff;Paul A. Mongeau Language Arts & Disciplines
"Africa South of the Sahara, Second Edition",Robert F. Stock;Robert Stock,History,3.43,7.0,"Africa South of the Sahara, Second Edition Robert F. Stock;Robert Stock History"
The Art of Happiness,Dalai Lama XIV Bstan-ʼdzin-rgya-mtsho;Howard C. Cutler,Religion,4.16,75417.0,The Art of Happiness Dalai Lama XIV Bstan-ʼdzin-rgya-mtsho;Howard C. Cutler Religion
Songbook,Nick Hornby,Music,3.56,9836.0,Songbook Nick Hornby Music
Desolation Angels,Jack Kerouac,Fiction,3.92,9450.0,Desolation Angels Jack Kerouac Fiction
The Color of Water,James McBride,Biography & Autobiography,4.08,89841.0,The Color of Water James McBride Biography & Autobiography
Awakening at Midlife,Kathleen A. Brehony,Psychology,3.99,62.0,Awakening at Midlife Kathleen A. Brehony Psychology
Caucasia,Danzy Senna,Fiction,4.02,5991.0,Caucasia Danzy Senna Fiction
High Fidelity,Nick Hornby,Fiction,3.94,802.0,High Fidelity Nick Hornby Fiction
Still Here,Ram Dass,Family & Relationships,4.12,786.0,Still Here Ram Dass Family & Relationships
Prozac Nation,Elizabeth Wurtzel,Biography & Autobiography,3.59,875.0,Prozac Nation Elizabeth Wurtzel Biography & Autobiography
The Dream of Scipio,Iain Pears,Fiction,3.73,3253.0,The Dream of Scipio Iain Pears Fiction
The Survivor's Guide to Sex,Staci Haines,Self-Help,4.31,188.0,The Survivor's Guide to Sex Staci Haines Self-Help
The Ultimate Guide to Anal Sex for Women,Tristan Taormino,Health & Fitness,4.11,367.0,The Ultimate Guide to Anal Sex for Women Tristan Taormino Health & Fitness
Stone Tables,Orson Scott Card,Fiction,3.87,1705.0,Stone Tables Orson Scott Card Fiction
Thus Spake the Corpse,Andrei Codrescu;Laura Rosenthal,Poetry,3.83,18.0,Thus Spake the Corpse Andrei Codrescu;Laura Rosenthal Poetry
The John Adams Reader,Thomas Robert May,Music,3.5,20.0,The John Adams Reader Thomas Robert May Music
Insurgency & Terrorism,Bard E. O'Neill,Political Science,3.92,128.0,Insurgency & Terrorism Bard E. O'Neill Political Science
Shattered Sword,Jonathan B. Parshall;Anthony P. Tully,History,4.4,1696.0,Shattered Sword Jonathan B. Parshall;Anthony P. Tully History
Strawberry Shortcake Murder,Joanne Fluke,Fiction,3.84,13878.0,Strawberry Shortcake Murder Joanne Fluke Fiction
Bound in Blood,David Thomas Lord,Fiction,3.32,69.0,Bound in Blood David Thomas Lord Fiction
Managers Not MBAs,Henry Mintzberg,Business & Economics,3.85,144.0,Managers Not MBAs Henry Mintzberg Business & Economics
Bright Purple,Melody Carlson,Juvenile Fiction,3.47,802.0,Bright Purple Melody Carlson Juvenile Fiction
Parenting with Love and Logic,Foster Cline;Jim Fay,Family & Relationships,4.07,9486.0,Parenting with Love and Logic Foster Cline;Jim Fay Family & Relationships
Echoes of the Soul,Echo Bodine,"Body, Mind & Spirit",4.28,337.0,"Echoes of the Soul Echo Bodine Body, Mind & Spirit"
The Gift,Echo L. Bodine,"Body, Mind & Spirit",4.12,232.0,"The Gift Echo L. Bodine Body, Mind & Spirit"
The Inner Reaches of Outer Space,Joseph Campbell,Religion,4.22,943.0,The Inner Reaches of Outer Space Joseph Campbell Religion
Myths of Light,Joseph Campbell,Philosophy,4.42,330.0,Myths of Light Joseph Campbell Philosophy
The Power of Now,Eckhart Tolle,"Body, Mind & Spirit",4.13,140443.0,"The Power of Now Eckhart Tolle Body, Mind & Spirit"
Myth and Reality,Mircea Eliade,Religion,4.07,501.0,Myth and Reality Mircea Eliade Religion
Live Like a Jesus Freak,DC Talk,Religion,4.05,580.0,Live Like a Jesus Freak DC Talk Religion
Conversations with Don DeLillo,Don DeLillo,Biography & Autobiography,4.06,107.0,Conversations with Don DeLillo Don DeLillo Biography & Autobiography
Tim Burton,Tim Burton,Biography & Autobiography,4.28,100.0,Tim Burton Tim Burton Biography & Autobiography
Daisy Bates,Grif Stockley,Biography & Autobiography,3.55,11.0,Daisy Bates Grif Stockley Biography & Autobiography
Having a Mary Heart in a Martha World,Joanna Weaver,Religion,4.17,14170.0,Having a Mary Heart in a Martha World Joanna Weaver Religion
Dinner With A Perfect Stranger,David Gregory,Fiction,3.98,2921.0,Dinner With A Perfect Stranger David Gregory Fiction
Dark Water,Linda Hall,Fiction,3.66,182.0,Dark Water Linda Hall Fiction
The Beatles Illustrated Lyrics,Alan Aldridge;Beatles,Music,4.25,1348.0,The Beatles Illustrated Lyrics Alan Aldridge;Beatles Music
The A.B.C. Murders,Agatha Christie,Fiction,4.0,63488.0,The A.B.C. Murders Agatha Christie Fiction
Murder at the Vicarage,Agatha Christie,Fiction,4.05,113459.0,Murder at the Vicarage Agatha Christie Fiction
The Body in the Library,Agatha Christie,Fiction,3.85,43669.0,The Body in the Library Agatha Christie Fiction
The Murder of Roger Ackroyd,Agatha Christie,Fiction,4.23,93453.0,The Murder of Roger Ackroyd Agatha Christie Fiction
Evil Under the Sun,Agatha Christie,Fiction,3.96,34030.0,Evil Under the Sun Agatha Christie Fiction
Death on the Nile,Agatha Christie,Fiction,4.09,629.0,Death on the Nile Agatha Christie Fiction
The Mystery of the Blue Train,Agatha Christie,Fiction,3.8,21431.0,The Mystery of the Blue Train Agatha Christie Fiction
The Illuminati Papers,Robert Wilson,"Body, Mind & Spirit",3.83,699.0,"The Illuminati Papers Robert Wilson Body, Mind & Spirit"
The South Beach Diet,Arthur Agatston,Health & Fitness,3.44,530.0,The South Beach Diet Arthur Agatston Health & Fitness
Mangoes & Curry Leaves,Jeffrey Alford & Naomi Duguid,Cooking,4.18,615.0,Mangoes & Curry Leaves Jeffrey Alford & Naomi Duguid Cooking
1000 Rings,Marthe Le Van,Crafts & Hobbies,4.22,80.0,1000 Rings Marthe Le Van Crafts & Hobbies
Artful Paper Dolls,Terry Taylor,Crafts & Hobbies,4.06,57.0,Artful Paper Dolls Terry Taylor Crafts & Hobbies
International Codes,International Code Council,Building laws,3.5,8.0,International Codes International Code Council Building laws
International Plumbing Code 2006,International Code Council,Technology & Engineering,3.5,4.0,International Plumbing Code 2006 International Code Council Technology & Engineering
Homelands,Patricia Justine Tumang;Jenesha de Rivera,Social Science,4.43,42.0,Homelands Patricia Justine Tumang;Jenesha de Rivera Social Science
Sukhoi Su-27 Flanker,Yefim Gordon;Peter Davison,History,3.0,6.0,Sukhoi Su-27 Flanker Yefim Gordon;Peter Davison History
Hungry Planet,Peter Menzel;Faith D'Aluisio,Cooking,4.44,1420.0,Hungry Planet Peter Menzel;Faith D'Aluisio Cooking
Maple Syrup Cookbook,Ken Haedrich,Cooking,3.82,38.0,Maple Syrup Cookbook Ken Haedrich Cooking
Cider,Annie Proulx;Lew Nichols,Cooking,3.64,175.0,Cider Annie Proulx;Lew Nichols Cooking
Doyle Brunson's Super System,Doyle Brunson,Games & Activities,3.94,2006.0,Doyle Brunson's Super System Doyle Brunson Games & Activities
The Red Badge of Courage,Stephen Crane,Juvenile Nonfiction,3.23,74477.0,The Red Badge of Courage Stephen Crane Juvenile Nonfiction
Sun Tzu,Sun-tzu;Gerald A. Michaelson,Business & Economics,3.8,290.0,Sun Tzu Sun-tzu;Gerald A. Michaelson Business & Economics
Please Stop Laughing At Me,Jodee Blanco,Biography & Autobiography,3.84,9515.0,Please Stop Laughing At Me Jodee Blanco Biography & Autobiography
The Stephen King Universe,Stanley Wiater;Christopher Golden;Hank Wagner,Literary Criticism,4.14,6241.0,The Stephen King Universe Stanley Wiater;Christopher Golden;Hank Wagner Literary Criticism
New York 2000,Robert A. M. Stern;David Fishman;Jacob Tilove,Architecture,4.47,15.0,New York 2000 Robert A. M. Stern;David Fishman;Jacob Tilove Architecture
Glass House,Toshio Nakamura,Architecture,4.0,14.0,Glass House Toshio Nakamura Architecture
This Present Darkness ; Piercing the Darkness,Frank E. Peretti,Religious Fiction,4.54,2708.0,This Present Darkness ; Piercing the Darkness Frank E. Peretti Religious Fiction
The Hidden Smile of God,John Piper,Religion,4.33,636.0,The Hidden Smile of God John Piper Religion
The Gospel According to Job,Mike Mason,Religion,4.43,133.0,The Gospel According to Job Mike Mason Religion
Prophet,Frank E. Peretti,Fiction,3.94,12479.0,Prophet Frank E. Peretti Fiction
Piercing the Darkness,Frank E. Peretti,Fiction,4.31,48725.0,Piercing the Darkness Frank E. Peretti Fiction
This Present Darkness,Frank E. Peretti,Fiction,4.23,82841.0,This Present Darkness Frank E. Peretti Fiction
The Passion of Jesus Christ,John Piper,Religion,4.23,6007.0,The Passion of Jesus Christ John Piper Religion
When I Don't Desire God,John Piper,Religion,4.18,4131.0,When I Don't Desire God John Piper Religion
Suffering and the Sovereignty of God,John Piper;Justin Taylor,Religion,4.31,621.0,Suffering and the Sovereignty of God John Piper;Justin Taylor Religion
The Legacy of Sovereign Joy,John Piper,Religion,4.26,794.0,The Legacy of Sovereign Joy John Piper Religion
When the Darkness Will Not Lift,John Piper,Religion,4.12,1173.0,When the Darkness Will Not Lift John Piper Religion
Face Off,Harry Hamernik,Art,4.03,65.0,Face Off Harry Hamernik Art
Simply Beautiful Beaded Jewelry,Heidi Boyd,Crafts & Hobbies,3.75,61.0,Simply Beautiful Beaded Jewelry Heidi Boyd Crafts & Hobbies
The Southern Haunting of Truman Capote,Marie Rudisill;James Coleman Simmons,Literary Criticism,3.96,25.0,The Southern Haunting of Truman Capote Marie Rudisill;James Coleman Simmons Literary Criticism
Shoofly Pie,Tim Downs,Fiction,4.18,1381.0,Shoofly Pie Tim Downs Fiction
Chop Shop,Tim Downs,Fiction,4.22,899.0,Chop Shop Tim Downs Fiction
Schott's Original Miscellany,Ben Schott,Reference,4.08,1349.0,Schott's Original Miscellany Ben Schott Reference
Soldiers of Salamis,Javier Cercas;Anne McLean,Fiction,3.79,398.0,Soldiers of Salamis Javier Cercas;Anne McLean Fiction
The Line of Beauty,Alan Hollinghurst,Fiction,3.73,364.0,The Line of Beauty Alan Hollinghurst Fiction
A Year in the Merde,Stephen Clarke,Fiction,3.55,11116.0,A Year in the Merde Stephen Clarke Fiction
Safety Behind Bars,Robert Kirkman;Charlie Adlard;Cliff Rathburn,Comics & Graphic Novels,4.31,25132.0,Safety Behind Bars Robert Kirkman;Charlie Adlard;Cliff Rathburn Comics & Graphic Novels
The Best Defense,Robert Kirkman;Charlie Adlard;Cliff Rathburn,Comics & Graphic Novels,4.29,20937.0,The Best Defense Robert Kirkman;Charlie Adlard;Cliff Rathburn Comics & Graphic Novels
Fell,Warren Ellis;Ben Templesmith,Comics & Graphic Novels,4.16,6659.0,Fell Warren Ellis;Ben Templesmith Comics & Graphic Novels
The Walking Dead,Robert Kirkman,"Comic books, strips, etc",3.96,1018.0,"The Walking Dead Robert Kirkman Comic books, strips, etc"
A Complicated Kindness,Miriam Toews,Fiction,3.65,17112.0,A Complicated Kindness Miriam Toews Fiction
D.H. Lawrence,John Worthen,Biography & Autobiography,4.02,56.0,D.H. Lawrence John Worthen Biography & Autobiography
The Horizontal World,Debra K. Marquart,Biography & Autobiography,3.77,381.0,The Horizontal World Debra K. Marquart Biography & Autobiography
Agnes Grey,Anne Brontë,England,3.68,37.0,Agnes Grey Anne Brontë England
Write Great Fiction - Plot & Structure,James Scott Bell,Language Arts & Disciplines,4.1,4304.0,Write Great Fiction - Plot & Structure James Scott Bell Language Arts & Disciplines
Lithium for Medea,Kate Braverman,Fiction,3.94,331.0,Lithium for Medea Kate Braverman Fiction
9-11 [neuf-onze],Noam Chomsky;Institute Professor & Professor of Linguistics (Emeritus) Noam Chomsky,Political Science,3.73,2981.0,9-11 [neuf-onze] Noam Chomsky;Institute Professor & Professor of Linguistics (Emeritus) Noam Chomsky Political Science
The Hip Chick's Guide to Macrobiotics,Jessica Porter,Health & Fitness,3.68,419.0,The Hip Chick's Guide to Macrobiotics Jessica Porter Health & Fitness
Rumble Fish,Marcus Romer;S. E. Hinton,Juvenile Fiction,3.87,885.0,Rumble Fish Marcus Romer;S. E. Hinton Juvenile Fiction
Posing for Portrait Photography,Jeff Smith,Photography,3.38,48.0,Posing for Portrait Photography Jeff Smith Photography
Healthy Cooking for IBS,Sophie Braimbridge;Erica Jankovich,Cooking,2.62,2.0,Healthy Cooking for IBS Sophie Braimbridge;Erica Jankovich Cooking
Homeless,Laurie Halse Anderson,Juvenile Fiction,4.07,401.0,Homeless Laurie Halse Anderson Juvenile Fiction
Teacher's Pet,Laurie Halse Anderson,Juvenile Fiction,4.07,170.0,Teacher's Pet Laurie Halse Anderson Juvenile Fiction
"The Fateful Adventures of the Good Soldier Švejk During the World War, Book One","Jaroslav Hašek;Zdeněk ""Zenny"" K. Sadlon",Fiction,4.11,21.0,"The Fateful Adventures of the Good Soldier Švejk During the World War, Book One Jaroslav Hašek;Zdeněk ""Zenny"" K. Sadlon Fiction"
Childhood Shadows,Mary Pacios,True Crime,3.5,46.0,Childhood Shadows Mary Pacios True Crime
Sophocles: the Theban Plays,Sophocles,Drama,3.97,54.0,Sophocles: the Theban Plays Sophocles Drama
Aristophanes' Acharnians,Aristophanes;Jeffrey Henderson,Drama,3.42,23.0,Aristophanes' Acharnians Aristophanes;Jeffrey Henderson Drama
M is for Mayflower,Margot Theis Raven;Jeannie Brett,Juvenile Nonfiction,4.0,26.0,M is for Mayflower Margot Theis Raven;Jeannie Brett Juvenile Nonfiction
O Is for Old Dominion,Pamela Duncan Edwards;Troy Howell,Juvenile Nonfiction,3.75,19.0,O Is for Old Dominion Pamela Duncan Edwards;Troy Howell Juvenile Nonfiction
The Age of Access,Jeremy Rifkin,Business & Economics,3.84,215.0,The Age of Access Jeremy Rifkin Business & Economics
In Search of Captain Zero,Alan C. Weisbecker,Biography & Autobiography,4.15,1625.0,In Search of Captain Zero Alan C. Weisbecker Biography & Autobiography
Think and Grow Rich,Napoleon Hill;Arthur R. Pell,Business & Economics,4.18,88437.0,Think and Grow Rich Napoleon Hill;Arthur R. Pell Business & Economics
How to Save Your Own Life,Erica Jong,Fiction,3.6,1296.0,How to Save Your Own Life Erica Jong Fiction
Parachutes & Kisses,Erica Jong,Fiction,3.47,563.0,Parachutes & Kisses Erica Jong Fiction
Fear of Fifty,Erica Jong,Biography & Autobiography,3.56,445.0,Fear of Fifty Erica Jong Biography & Autobiography
Any Woman's Blues,Erica Jong,Fiction,3.51,422.0,Any Woman's Blues Erica Jong Fiction
What Do Women Want?,Daniel Bergner,Social Science,3.69,160.0,What Do Women Want? Daniel Bergner Social Science
The Book of Leviathan,Peter Blegvad,Comics & Graphic Novels,4.17,610.0,The Book of Leviathan Peter Blegvad Comics & Graphic Novels
The Arabian Nightmare,Robert Irwin,Fiction,3.85,391.0,The Arabian Nightmare Robert Irwin Fiction
Laughing Gas,Pelham Grenville Wodehouse,Fiction,3.89,1672.0,Laughing Gas Pelham Grenville Wodehouse Fiction
Meet Mr. Mulliner,Pelham Grenville Wodehouse,Fiction,4.06,1162.0,Meet Mr. Mulliner Pelham Grenville Wodehouse Fiction
This Is Berlin,William L. Shirer;John Keegan,History,4.22,147.0,This Is Berlin William L. Shirer;John Keegan History
The Stones of Summer,Dow Mossman,Fiction,3.14,412.0,The Stones of Summer Dow Mossman Fiction
Spring Fever,P.G. Wodehouse,Fiction,4.06,468.0,Spring Fever P.G. Wodehouse Fiction
Money in the Bank,P. G. Wodehouse,Fiction,4.15,308.0,Money in the Bank P. G. Wodehouse Fiction
Anthony Powell,Michael Barber,Biography & Autobiography,3.72,39.0,Anthony Powell Michael Barber Biography & Autobiography
The Warrior Prophet,R. Scott Bakker,Fiction,3.95,10236.0,The Warrior Prophet R. Scott Bakker Fiction
The Various Haunts of Men,Susan Hill,Fiction,3.81,8001.0,The Various Haunts of Men Susan Hill Fiction
The Unmasking of Oscar Wilde,Joseph Pearce,Religion,4.25,105.0,The Unmasking of Oscar Wilde Joseph Pearce Religion
The American Heritage New History of the Civil War,Bruce Catton,History,4.1,100.0,The American Heritage New History of the Civil War Bruce Catton History
One Flew Over the Cuckoo's Nest (SparkNotes Literature Guide),Ken Kesey,Literary Criticism,4.12,4.0,One Flew Over the Cuckoo's Nest (SparkNotes Literature Guide) Ken Kesey Literary Criticism
The Aristotle's Ethics,Aristotle,Study Aids,3.0,2.0,The Aristotle's Ethics Aristotle Study Aids
No Fear : Julius Caesar,Sparknotes Editors,Classic,3.67,740.0,No Fear : Julius Caesar Sparknotes Editors Classic
The Big Book of Boy Stuff,Bart King,Juvenile Nonfiction,4.24,141.0,The Big Book of Boy Stuff Bart King Juvenile Nonfiction
It's Easy Being Green,Crissy Trask,House & Home,3.53,326.0,It's Easy Being Green Crissy Trask House & Home
Fifty-One Tales,Lord Dunsany;Lin Carter;John Betancourt,Fiction,3.82,342.0,Fifty-One Tales Lord Dunsany;Lin Carter;John Betancourt Fiction
The Well at the World's End,William Morris;Lin Carter,Fiction,3.77,251.0,The Well at the World's End William Morris;Lin Carter Fiction
The Lure of the Basilisk,Lawrence Watt-Evans,Fiction,3.7,478.0,The Lure of the Basilisk Lawrence Watt-Evans Fiction
On the Lines of Morris' Romances,William Morris;Michale W. Perry,Fiction,4.09,11.0,On the Lines of Morris' Romances William Morris;Michale W. Perry Fiction
Guide to Stress Reduction,L. John Mason,Self-Help,4.22,9.0,Guide to Stress Reduction L. John Mason Self-Help
Heart and Hands,Elizabeth Davis,Health & Fitness,4.38,861.0,Heart and Hands Elizabeth Davis Health & Fitness
Cast in Dark Waters,Edward Gorman;Tom Piccirilli,Fiction,3.31,26.0,Cast in Dark Waters Edward Gorman;Tom Piccirilli Fiction
Isis,Douglas Clegg,Fiction,3.68,21.0,Isis Douglas Clegg Fiction
The Secretary of Dreams,Stephen King,Fiction,4.45,270.0,The Secretary of Dreams Stephen King Fiction
Tolkien and C.S. Lewis,Colin Duriez,Biography & Autobiography,4.0,1320.0,Tolkien and C.S. Lewis Colin Duriez Biography & Autobiography
Monte Cooks Years Best D20 04,Monte Cook,Games,4.2,5.0,Monte Cooks Years Best D20 04 Monte Cook Games
Tomie,Junji Ito,Comics & Graphic Novels,3.92,807.0,Tomie Junji Ito Comics & Graphic Novels
Category Freaks,Sakurako Gokurakuin,Comics & Graphic Novels,3.57,110.0,Category Freaks Sakurako Gokurakuin Comics & Graphic Novels
The Pirate Dictionary,Terry Breverton,History,3.69,50.0,The Pirate Dictionary Terry Breverton History
This Side of Paradise,Steven L. Layne,Juvenile Fiction,3.74,536.0,This Side of Paradise Steven L. Layne Juvenile Fiction
Farewell to Salonica,Leon Sciaky,Biography & Autobiography,4.11,62.0,Farewell to Salonica Leon Sciaky Biography & Autobiography
The Art of H. P. Lovecraft's the Cthulhu Mythos,Howard Phillips Lovecraft;Jeremy McHugh,Art,4.04,139.0,The Art of H. P. Lovecraft's the Cthulhu Mythos Howard Phillips Lovecraft;Jeremy McHugh Art
Creative Correction,Lisa Whelchel,Family & Relationships,3.93,1071.0,Creative Correction Lisa Whelchel Family & Relationships
De Vita Propria Liber,Girolamo Cardano;Jean Stoner,Biography & Autobiography,3.79,63.0,De Vita Propria Liber Girolamo Cardano;Jean Stoner Biography & Autobiography
Witch Grass,Raymond Queneau;Barbara Wright,Fiction,3.94,320.0,Witch Grass Raymond Queneau;Barbara Wright Fiction
The Tenants of Moonbloom,Edward Lewis Wallant,Fiction,3.89,488.0,The Tenants of Moonbloom Edward Lewis Wallant Fiction
The Ivory Tower,Henry James,Fiction,3.33,54.0,The Ivory Tower Henry James Fiction
Mistress Masham's Repose,T. H. White;Fritz Eichenberg,Juvenile Fiction,3.94,1404.0,Mistress Masham's Repose T. H. White;Fritz Eichenberg Juvenile Fiction
Hons and Rebels,Jessica Mitford,Biography & Autobiography,4.12,2889.0,Hons and Rebels Jessica Mitford Biography & Autobiography
An Episode of Sparrows,Rumer Godden,Juvenile Fiction,4.2,851.0,An Episode of Sparrows Rumer Godden Juvenile Fiction
The Man who Watched Trains Go by,Georges Simenon;Marc Romano;Douglas Thin,Fiction,3.85,1385.0,The Man who Watched Trains Go by Georges Simenon;Marc Romano;Douglas Thin Fiction
The New York Stories of Henry James,Henry James;Colm Tóibín,Fiction,4.04,137.0,The New York Stories of Henry James Henry James;Colm Tóibín Fiction
Dime-store Alchemy,Charles Simic;Joseph Cornell,Art,4.21,69.0,Dime-store Alchemy Charles Simic;Joseph Cornell Art
The Strangers in the House,Georges Simenon,Fiction,3.76,633.0,The Strangers in the House Georges Simenon Fiction
A Savage War of Peace,Alistair Horne,History,4.22,1811.0,A Savage War of Peace Alistair Horne History
Diary of a Man in Despair,Fritz Percy Reck-Malleczewen;Friedrich Reck;Paul Rubens;Richard J. Evans,Biography & Autobiography,4.22,30.0,Diary of a Man in Despair Fritz Percy Reck-Malleczewen;Friedrich Reck;Paul Rubens;Richard J. Evans Biography & Autobiography
The Wave in the Mind,Ursula K. Le Guin,Literary Collections,4.28,941.0,The Wave in the Mind Ursula K. Le Guin Literary Collections
Healing Emotions,Daniel Goleman,Health & Fitness,4.05,291.0,Healing Emotions Daniel Goleman Health & Fitness
A Guide to the Words of My Perfect Teacher,Khenpo Ngawang Pelzang;Ṅag-dbaṅ-dpal-bzaṅ (Mkhan-po),Religion,4.61,79.0,A Guide to the Words of My Perfect Teacher Khenpo Ngawang Pelzang;Ṅag-dbaṅ-dpal-bzaṅ (Mkhan-po) Religion
Dewdrops on a Lotus Leaf,Ryōkan;John Stevens,Poetry,4.56,169.0,Dewdrops on a Lotus Leaf Ryōkan;John Stevens Poetry
Lovingkindness,Sharon Salzberg;Jon Kabat-Zinn,Self-Help,4.26,4072.0,Lovingkindness Sharon Salzberg;Jon Kabat-Zinn Self-Help
